year;artists;explicit;name;popularity;tempo;artists_song
2002;Ja Rule;1;Mesmerize;64;90.1;Ja Rule - Mesmerize
2002;Good Charlotte;0;Lifestyles of the Rich & Famous;70;106.22;Good Charlotte - Lifestyles of the Rich & Famous
2002;The Used;1;The Taste of Ink;65;98.122;The Used - The Taste of Ink
2002;Eminem;1;Cleanin' Out My Closet;71;148.015;Eminem - Cleanin' Out My Closet
2002;Chevelle;0;Send the Pain Below;64;92.079;Chevelle - Send the Pain Below
2002;Red Hot Chili Peppers;0;By the Way;74;122.444;Red Hot Chili Peppers - By the Way
2002;Eminem;1;Sing For The Moment;71;16.396.099.999.999.900;Eminem - Sing For The Moment
2002;Sum 41;1;Still Waiting;63;191.936;Sum 41 - Still Waiting
2002;Norah Jones;0;Don't Know Why;74;8.817.399.999.999.990;Norah Jones - Don't Know Why
2002;Los Angeles De Charly;0;Un Sueño;69;149.445;Los Angeles De Charly - Un Sueño
2002;New Found Glory;0;My Friends Over You;65;177.793;New Found Glory - My Friends Over You
2002;Nirvana;0;About A Girl;70;131.761;Nirvana - About A Girl
2002;Keith Urban;0;Somebody Like You;65;111.02;Keith Urban - Somebody Like You
2002;Seether;0;Fine Again;63;175.543;Seether - Fine Again
2002;Wilco;0;Jesus, Etc.;66;109.413;Wilco - Jesus, Etc.
2002;Stone Sour;1;Bother;66;89.914;Stone Sour - Bother
2002;Christina Aguilera;0;Beautiful;72;76.19;Christina Aguilera - Beautiful
2002;Christina Aguilera;0;Fighter;69;188.899;Christina Aguilera - Fighter
